,10 Week FF4,10 Week FF5,10 Week FF6,10 Week FF9,10 Week RF4,10 Week RF5,10 Week RF6,10 Week RF7,16 Week FF1,16 Week FF2,16 Week FF3,16 Week FF6,16 Week RF4,16 Week RF5,16 Week RF8,16 Week RF9
Age,10 Week,10 Week,10 Week,10 Week,10 Week,10 Week,10 Week,10 Week,16 Week,16 Week,16 Week,16 Week,16 Week,16 Week,16 Week,16 Week
Feed,FF,FF,FF,FF,RF,RF,RF,RF,FF,FF,FF,FF,RF,RF,RF,RF
ID,FF4,FF5,FF6,FF9,RF4,RF5,RF6,RF7,FF1,FF2,FF3,FF6,RF4,RF5,RF8,RF9
ANXA2,-0.573666573,-1.044548988,-1.0719347,-1.58860302,-0.598031044,-0.219880104,0.3419981,0.475913048,-0.219315529,-0.494990349,-0.336495399,0.29109478,0.912890434,0.548266411,1.0268507,0.594037056
CATHL3,3.52186203,-0.617042542,4.102451324,4.20164299,0.51594162,-0.943826675,0.601640701,-0.173755646,8.290239334,3.536914825,7.972290039,-2.241600037,3.379512787,-1.259569168,0.064807892,-0.451723099
CCDC80,-0.961455,-1.636895,-2.176075,-2.879985,-0.674185,0.200395,-0.080605,0.554395,0.173686156,0.348157057,0.374541411,1.262652526,1.527096877,2.647398123,2.849440703,1.867015967
CD36,-1.545945168,-0.895226479,-0.895363808,-1.605669975,0.242531776,-0.837794304,-0.537182808,1.132445335,-0.497614861,-0.600216866,-0.925913811,0.280632973,0.288565636,-0.300681114,2.289992332,-0.884821892
CDH13,0.52536869,-1.209078789,-0.731169701,-1.145833015,-0.568291664,0.022286415,-0.117951393,0.663956642,0.120137215,0.139044762,-0.037278175,0.481169701,0.072392464,0.889014244,1.875060081,1.254319191
CHRM5,-0.699502945,1.000368118,1.156240463,1.342084885,0.614488602,-0.365068436,-0.131149292,-0.118270874,0.768596649,1.607089996,0.887228012,0.479545593,0.266738892,0.175569534,0.517763138,-0.10382843
CLDN18,-4.332925,1.339715,2.729035,2.090035,-3.598835,1.586795,-2.691915,4.703955,3.916015302,3.300832425,3.890063916,3.669528638,4.905011807,4.236660634,4.949920331,3.857910786
COL1A2,0.988746643,-0.982500076,-1.78093338,-2.159263611,-1.791915894,0.093309402,0.189023972,1.50958252,-3.010658264,-1.342647552,-2.190731049,-1.394170761,-1.270166397,-0.847581863,0.465932846,-0.370492935
COL3A1,0.721651077,-0.997646332,-1.881069183,-2.268013,-1.516517639,-0.030982971,-0.027229309,1.574729919,-2.657711029,-1.762830734,-1.756040573,-1.016105652,-1.402648926,-1.021242142,0.422235489,-0.196426392
COL4A2,0.753102779,-0.864683628,-0.454508305,-0.964155674,-0.535681248,-0.137068272,-0.548740864,1.221490383,-0.613127232,-0.377604008,-0.084019184,0.318604946,0.39797163,1.019616604,1.816897869,0.716508389
COL6A1,0.454264164,-1.383813381,-1.779832363,-2.133578777,-1.202662945,-0.054833889,0.064245701,1.193251133,-1.636880398,-0.428855419,-0.408256054,0.323923588,0.241249561,0.56076479,1.821711063,1.447046757
CYP11A1,-0.777652044,-0.241612044,-1.830822044,-2.027882044,-0.656472044,0.032237956,-0.394782599,1.019016687,-0.874309119,-1.007148322,-0.809688147,-0.727820929,0.123547021,1.321661416,1.019442025,0.931442682
CYP19A1,-0.416263506,-0.211543506,-1.682203506,-1.986603506,-0.600523506,0.404196494,0.325826547,-0.129499534,-2.106475928,-2.461397269,-1.941669562,-0.8646184,-0.626724341,-0.406284431,0.97885122,-0.355861762
DHCR24,-0.32747364,-0.359353065,-1.893660545,-2.050024986,-0.782261848,0.171523094,0.049561501,0.561177254,-1.899786949,-1.423228264,-1.925625801,-1.281733513,-0.799572945,0.829342842,1.079554558,-0.21965313
DLX5,-0.439342499,1.292205811,0.583620071,1.02960968,1.120031357,-1.981714249,-1.515968323,2.377651215,3.924791336,4.968347549,3.338029861,0.634153366,2.571754456,0.487567902,4.501234055,0.417165756
DRD4,0.663525105,1.682079792,1.476233006,1.553646564,0.59569788,-0.184575558,-0.501828671,0.090706348,1.529474735,1.978405476,1.247440815,0.255161762,-0.171651363,0.044641972,0.231310368,-0.176309109
FHL2,-0.351541996,-0.93648386,-1.090702534,-1.543936253,-0.663429737,0.117639065,-0.371199131,0.916989803,0.144315243,-0.429932117,0.439218044,0.884086132,1.023696423,0.501788616,2.809758663,1.581662655
FN1,-0.025046349,-1.167384148,-2.08163166,-2.055052757,-1.023043633,-0.246760368,0.060723305,1.209080696,-1.283385277,-1.120362282,-0.180779457,-0.40028286,0.079247475,0.568804741,1.079943657,0.994626045
GABBR2,0.306950569,1.335289955,2.221499443,2.470032692,1.126339912,-1.166989326,-1.53737545,1.578024864,3.640414238,3.176161766,2.285599709,1.793480873,2.208516121,-0.007054329,3.193095207,-0.227993965
GABRA3,0.746101379,0.83411026,1.234863281,1.581981659,0.405460358,-0.440950394,-0.4818573,0.517347336,1.613172531,1.759822845,1.285312653,1.414966583,1.09425354,0.785957336,1.609653473,-0.35704422
GABRA5,-0.119277477,0.306560993,1.071657658,2.046143055,0.508804798,-0.303184032,-0.855042934,0.649422169,1.930984974,2.406315327,0.326237202,1.262012959,0.87080431,-0.217462063,-0.229011059,-0.621680737
GAL7,2.859155655,-1.11268425,3.527719498,3.3490448,0.402866364,-0.958106995,1.176324844,-0.621084213,8.869464874,4.215099335,8.702350616,-2.192920685,3.628135681,-0.675231934,0.184734344,0.291648865
GRID1,1.03915453,-0.281878948,-0.240987301,-0.218389034,-0.221288204,-0.79171896,-0.013617992,1.026625156,1.48905611,2.009296894,1.796103001,1.404964924,1.783737659,1.989944935,2.36418581,1.403648853
HMGCR,0.631342888,0.079491615,-0.431584358,-1.127303123,-0.021492958,0.263350487,-0.070635796,-0.171221733,-1.838582039,-2.045722008,-2.711201668,-2.56317234,-2.357844353,-0.939932823,-0.931492805,-1.163199425
HSD17B1,0.465436935,-0.315553665,-1.304000854,-0.924156189,-1.39304924,-0.117372513,0.572349548,0.938072205,-1.299476624,-1.813182831,-2.235002518,-2.019769669,0.171424866,0.363254547,0.773729324,0.347610474
