gene,group,p.val,BH.adj.Pval,Feed.sig,Age.sig
ANXA2,p.val.Feed,1.0748546903299114e-4,0.0010748546903299112,++,
ANXA2,p.val.Age,6.587732214704702e-4,0.0034876229371966073,,**
CATHL3,p.val.Feed,0.03269172461641726,0.06260117479739476,,
CATHL3,p.val.Age,0.48754643214160165,0.541718257935113,,
CCDC80,p.val.Age,3.229899643557715e-6,2.906909679201944e-4,,***
CCDC80,p.val.Feed,4.833217039334142e-5,7.249825559001214e-4,+++,
CD36,p.val.Feed,0.03441612909879204,0.06321329834472009,,
CD36,p.val.Age,0.2022670966191802,0.26770645140773847,,
CDH13,p.val.Age,0.00865825421002036,0.02226408225433807,,*
CDH13,p.val.Feed,0.02674421529828515,0.052325638627079646,,
CHRM5,p.val.Feed,0.025057802555125887,0.05125459613548477,,
CHRM5,p.val.Age,0.43739891121105745,0.49830255707588816,,
CLDN18,p.val.Age,0.00793031317793386,0.020992005471001395,,*
CLDN18,p.val.Feed,0.8934514915278482,0.9137572072443902,,
COL1A2,p.val.Feed,0.04036207842312808,0.06985744342464476,,
COL1A2,p.val.Age,0.186981615459139,0.2511693341988434,,
COL3A1,p.val.Feed,0.03774854054831839,0.0679473729869731,,
COL3A1,p.val.Age,0.24441519154196872,0.3013337977914683,,
COL4A2,p.val.Feed,0.04163784471141287,0.06939640785235479,,
COL4A2,p.val.Age,0.11063515707369229,0.15318714056357394,,
COL6A1,p.val.Feed,0.009056550875152903,0.022641377187882256,+,
COL6A1,p.val.Age,0.08372748901705823,0.12153990341185872,,
CYP11A1,p.val.Feed,3.6099692703837584e-4,0.0021659815622302554,++,
CYP11A1,p.val.Age,0.06880967710791423,0.10321451566187134,,
CYP19A1,p.val.Feed,0.001557587689041483,0.006675375810177783,++,
CYP19A1,p.val.Age,0.23905987954403587,0.30303365012624267,,
DHCR24,p.val.Feed,0.0010940142495314657,0.005470071247657328,++,
DHCR24,p.val.Age,0.7320991766513826,0.8035234865685906,,
DLX5,p.val.Age,0.017249509275259853,0.04085410091508913,,*
DLX5,p.val.Feed,0.29482379587539465,0.34913344248402,,
DRD4,p.val.Feed,1.1374477407350525e-4,0.001023702966661547,++,
DRD4,p.val.Age,0.8238091350008122,0.872268495883213,,
FHL2,p.val.Age,0.001572992169294846,0.006434967965297098,,**
FHL2,p.val.Feed,0.006706511300845479,0.018290485365942216,+,
FN1,p.val.Feed,0.002264111327701893,0.008150800779726816,++,
FN1,p.val.Age,0.10574058066017378,0.1486976915533694,,
GABBR2,p.val.Feed,0.03356839904906223,0.06294074821699168,,
GABBR2,p.val.Age,0.07760931857728207,0.11450555199926862,,
GABRA3,p.val.Feed,0.0042106699214277486,0.013534296176017764,+,
GABRA3,p.val.Age,0.04094731247844991,0.06953317213321683,,
GABRA5,p.val.Feed,0.011614700607120469,0.028251974449752495,+,
GABRA5,p.val.Age,0.4641834475114308,0.5222063784503597,,
GAL7,p.val.Feed,0.055319304631867204,0.08734627047136927,,
GAL7,p.val.Age,0.24311367436765455,0.30389209295956815,,
GRID1,p.val.Age,2.091713322627231e-5,6.275139967881693e-4,,***
GRID1,p.val.Feed,0.8045128548107778,0.8619780587258333,,
HMGCR,p.val.Age,4.3948861739228206e-5,7.910795113061077e-4,,***
HMGCR,p.val.Feed,0.06416447586055403,0.09787801402457394,,
HSD3B2,p.val.Feed,0.02185968068770658,0.04798466492423395,+,
HSD3B2,p.val.Age,0.023894466621543545,0.05120242847473616,,
LAMA2,p.val.Age,0.0026780820550752872,0.008926940183584291,,**
LAMA2,p.val.Feed,0.025910791833551095,0.05182158366710219,,
LECT2,p.val.Feed,0.0533835607388313,0.08579500833026459,,
LECT2,p.val.Age,0.22128753332961382,0.2886359130386267,,
MGLL,p.val.Feed,0.0011945116966950787,0.0056582133001345835,++,
MGLL,p.val.Age,0.0051859760732610215,0.015056059567531999,,*
MMP10,p.val.Feed,0.004231596333327918,0.013132540344810779,+,
MMP10,p.val.Age,0.792978232682264,0.8598559149566717,,
MMP9,p.val.Feed,0.05248233435409782,0.0858801834885237,,
MMP9,p.val.Age,0.09929181272232096,0.1418454467461728,,
MYH11,p.val.Age,5.887347803233838e-4,0.0033116331393190333,,**
MYH11,p.val.Feed,0.0019517551785457926,0.007637302872570494,++,
NEGR1,p.val.Age,6.994156608745682e-5,8.992487068387305e-4,,***
NEGR1,p.val.Feed,0.890921344033493,0.9216427696898203,,
NELL2,p.val.Feed,0.001547180413118102,0.006962311859031459,++,
NELL2,p.val.Age,0.32137877070670995,0.375637524202648,,
POSTN,p.val.Feed,0.024148432578054466,0.0505432309773233,,
POSTN,p.val.Age,0.03925592634311856,0.06927516413491511,,
PTEN,p.val.Age,1.4752397078990018e-5,6.638578685545509e-4,,***
PTEN,p.val.Feed,0.0203329988726766,0.04574924746352235,+,
RBP4,p.val.Feed,0.06013585532781184,0.09331425826729423,,
RBP4,p.val.Age,0.18393762423742094,0.25082403305102857,,
SATB2,p.val.Age,0.0022486039931204106,0.008432264974201539,,**
SATB2,p.val.Feed,0.8671244652618111,0.9074558357391047,,
StAR,p.val.Age,3.994130123493138e-5,8.98679277785956e-4,,***
StAR,p.val.Feed,7.62608719187457e-5,8.579348090858893e-4,+++,
StARD4,p.val.Feed,0.0022654597465545895,0.007841976045765888,++,
StARD4,p.val.Age,0.004475831726988889,0.013427495180966668,,*
SUPT3H,p.val.Age,0.005906665169960451,0.01661249579051377,,*
SUPT3H,p.val.Feed,0.9375739434270487,0.9375739434270486,,
TEAD1,p.val.Age,0.280919999483497,0.3416594588312801,,
TEAD1,p.val.Feed,0.4084450741155129,0.47128277782559186,,
VCAN,p.val.Age,2.9165900298452923e-4,0.0020191777129698178,,**
VCAN,p.val.Feed,3.588781055506218e-4,0.002307073535682569,++,
VIP,p.val.Age,0.02015980518381226,0.046522627347259066,,*
VIP,p.val.Feed,0.23838316196414056,0.3064926368110379,,
VIPR1,p.val.Age,0.29339293215155987,0.35207151858187186,,
VIPR1,p.val.Feed,0.9089712272682882,0.9191843871252351,,
VIPR2,p.val.Age,2.2359421211826124e-4,0.0018294071900585012,,**
VIPR2,p.val.Feed,2.658694104468127e-4,0.0019940205783510953,++,
