gene,p.val.Feed,p.val.Age,p.val.int,p.val.int.signif
ANXA2,0.0020013269064830183,0.007197748765220581,0.7814250938248509,ns
CATHL3,0.2003307856465147,0.4575744878608863,0.7000563746712307,ns
CCDC80,9.876062084007598e-4,1.2683234924144992e-4,0.7188746178336946,ns
CD36,0.07045713718031764,0.2230304404660843,0.6172783512769205,ns
CDH13,0.16800991274897092,0.08604478615266804,0.7433502566415333,ns
CHRM5,0.11612907583326461,0.5787430274946872,0.9709134740418377,ns
CLDN18,0.8037643691532469,0.09672232218373689,0.6317262024337243,ns
COL1A2,0.2366819676231676,0.22889415908235972,0.665125691193362,ns
COL3A1,0.16533432131554396,0.37369115047527113,0.8952733531732651,ns
COL4A2,0.4420967687551747,0.6946621161235216,0.26589666765163,ns
COL6A1,0.09179370838170844,0.32833152390833464,0.7188008405166877,ns
CYP11A1,0.016780181121890694,0.4226102938496654,0.45081615204990555,ns
CYP19A1,0.05357208432020031,0.15121538081516472,0.3659745386451657,ns
DHCR24,0.043118497265741476,0.37182362649147815,0.35444824845110334,ns
DLX5,0.6261931919173622,0.056735424099187116,0.7345389851188311,ns
DRD4,0.0025275782767125955,0.8007351553293751,0.8859780968470815,ns
FHL2,0.07376446763740563,0.029107421192077113,0.7413598948855211,ns
FN1,0.02864450773492765,0.29560682897032453,0.9027566885199041,ns
GABBR2,0.1156716588042819,0.24536521719928056,0.9107471379748596,ns
GABRA3,0.014052084668627708,0.2951621914658218,0.5139383059040382,ns
GABRA5,0.17516796139337926,0.2755285772568079,0.402044548644914,ns
GAL7,0.33196543211444673,0.22262448928841888,0.5435411282754932,ns
GRID1,0.8525225608601381,0.0015209974624055557,0.6165867839359702,ns
HMGCR,0.598888683678424,1.9002538307174183e-4,0.21322013820730001,ns
HSD17B1,0.3044570291411764,0.018257126887138705,0.026174810952814653,*
HSD3B2,0.4101777671995248,0.4290371921679599,0.15274755526637768,ns
LAMA2,0.19735522963482063,0.05003734973745022,0.6185691378659586,ns
LECT2,0.28434785261404844,0.2469396551916148,0.6430600224831482,ns
MGLL,0.07743335504893414,0.20228524427164332,0.12104938227777573,ns
MMP10,0.07913635165269546,0.5211960831984097,0.5140790599899103,ns
MMP9,0.5219336530127948,0.05148988008396996,0.2366287784936617,ns
MYH11,0.005348980935994273,0.002332038554741536,0.3621659023728381,ns
NEGR1,0.8559425681368559,0.002522222829424324,0.9003716641040314,ns
NELL2,0.014590601465047513,0.41776351701385106,0.8488346195916786,ns
POSTN,0.10740202043828673,0.14712504918167482,0.9922281900833014,ns
PTEN,0.048184123447611554,3.1523866653806304e-4,0.5979641538787674,ns
RBP4,0.22694442187928768,0.30064426206108225,0.8604445008658167,ns
SATB2,0.4964959807287589,0.007235226466984213,0.42642253947594744,ns
StAR,0.0036808689110978104,0.002254734947405706,0.693446893235282,ns
StARD4,0.07542274497734819,0.11615781316546021,0.3151376709993959,ns
SUPT3H,0.3903389742787623,0.005850482479049725,0.20423865240620584,ns
TEAD1,0.6231760101177356,0.07004346917313461,0.13138245641990715,ns
VCAN,0.01771662584113515,0.015243129560978699,0.41545301980387594,ns
VIP,0.16338893516941952,0.029332679004410285,0.3986755020530619,ns
VIPR1,0.7825865970697601,0.5966024414085073,0.779217497222062,ns
VIPR2,0.006224123033308132,0.005502473273805802,0.9414825007848275,ns
